playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_rot,error_anchor_lin_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,error_body_lin_vel,error_body_ang_vel,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.04255453497171402,0,0.0016755462856963277,0.012974931858479977,0.30393022298812866,1.2444961071014404,0.0035286282654851675,0.021372413262724876,0.13596156239509583,16.600772857666016,0.4203917682170868,2.914354085922241,0.00153934839181602,-1.9073486328125e-05
1,0.01,1,0.052593737840652466,0,0.002559512387961149,0.009834234602749348,0.18629395961761475,0.5843569040298462,0.004882302600890398,0.034072667360305786,0.18050283193588257,2.806415319442749,0.2229035347700119,0.7163001894950867,0.002459926065057516,-0.00016021728515625
2,0.02,2,0.053262196481227875,0,0.004054264631122351,0.010774322785437107,0.2952575981616974,0.3659787178039551,0.006678062491118908,0.0327923484146595,0.16486911475658417,2.914541482925415,0.3117161989212036,0.6688302755355835,0.0022727230098098516,-0.00042724609375
3,0.03,3,0.05278700217604637,0,0.007278453093022108,0.013596564531326294,0.3996773958206177,0.31112560629844666,0.00972759909927845,0.030577367171645164,0.14639680087566376,2.852571725845337,0.40170764923095703,0.7008236646652222,0.0017401776276528835,-0.00083160400390625
4,0.04,4,0.0512923002243042,0,0.011458623223006725,0.013704805634915829,0.4038669466972351,0.6431103348731995,0.013525420799851418,0.02766317129135132,0.12628847360610962,4.309428691864014,0.3953557014465332,0.9545859098434448,0.0009864114690572023,-0.001064300537109375
5,0.05,5,0.0501461923122406,0,0.01502944901585579,0.017547352239489555,0.30144891142845154,0.6145324110984802,0.016589786857366562,0.023363357409834862,0.10734037309885025,4.630005836486816,0.2968495488166809,1.074418544769287,-2.5469576939940453e-05,-0.001148223876953125
6,0.06,6,0.05097981542348862,0,0.01784476451575756,0.023235008120536804,0.24396377801895142,0.60417640209198,0.01918971911072731,0.025894295424222946,0.10770759731531143,3.34622859954834,0.2569494843482971,0.8615571856498718,-0.0006056568818166852,-0.00146484375
7,0.07,7,0.05132810398936272,0,0.020258828997612,0.027916353195905685,0.21904905140399933,0.5649399161338806,0.021588116884231567,0.03151340037584305,0.11787381768226624,2.5870304107666016,0.23195438086986542,0.7121433019638062,-0.0006299794185906649,-0.001743316650390625
8,0.08,8,0.051528532058000565,0,0.022367557510733604,0.03259977325797081,0.2059851735830307,0.5578306913375854,0.02368922345340252,0.037231311202049255,0.13051240146160126,2.1193439960479736,0.2125035971403122,0.5950571894645691,-0.00022219261154532433,-0.001995086669921875
9,0.09,9,0.05164748802781105,0,0.024233635514974594,0.03730342909693718,0.20141297578811646,0.5487970113754272,0.025547124445438385,0.04238972067832947,0.14283610880374908,1.8139123916625977,0.19645240902900696,0.5010523796081543,0.0005151950754225254,-0.002178192138671875
10,0.1,10,0.051721200346946716,0,0.025920646265149117,0.04210171848535538,0.1995733678340912,0.5310567021369934,0.02719387412071228,0.046690117567777634,0.1539652943611145,1.628731369972229,0.18197178840637207,0.42269667983055115,0.0014959662221372128,-0.0023345947265625
11,0.11,11,0.051763370633125305,0,0.02747606486082077,0.04678051173686981,0.1985321342945099,0.508601188659668,0.02868148311972618,0.050338517874479294,0.16378535330295563,1.5017170906066895,0.16906148195266724,0.36000800132751465,0.002648822730407119,-0.002429962158203125
12,0.12,12,0.05178183317184448,0,0.028939425945281982,0.05131196230649948,0.19661636650562286,0.4822915494441986,0.030045490711927414,0.05331377685070038,0.17232808470726013,1.3976997137069702,0.15703466534614563,0.3157327175140381,0.003915424458682537,-0.002483367919921875
