playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_rot,error_anchor_lin_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.039064496755599976,0,0.005311896558851004,0.019419008865952492,0.797944188117981,3.883883237838745,0.005998582579195499,0.016909416764974594,0.10930135101079941,19.717025756835938,0.5849858522415161,3.008115291595459,0,0,0,0,0.0005970001220703125,-8.0108642578125e-05
1,0.01,1,0.04181757569313049,0,0.011820326559245586,0.041394513100385666,0.6415528059005737,0.7196506261825562,0.01218379195779562,0.036112695932388306,0.21599219739437103,12.218337059020996,0.5388516783714294,1.974471092224121,0,0,0,0,0.0039196014404296875,-8.7738037109375e-05
2,0.02,2,0.05055030807852745,0,0.01681651920080185,0.04301906377077103,0.4587567448616028,0.48065710067749023,0.017299648374319077,0.042819224298000336,0.22728422284126282,4.528303146362305,0.4517068564891815,0.9725755453109741,0,0,0,0,0.00585174560546875,-0.00026702880859375
3,0.03,3,0.05266117304563522,0,0.020485585555434227,0.0444452129304409,0.33753150701522827,0.36051061749458313,0.021158922463655472,0.043404512107372284,0.21328110992908478,2.3497300148010254,0.35694801807403564,0.6527813673019409,0,0,0,0,0.006923675537109375,-0.000621795654296875
4,0.04,4,0.05348341539502144,0,0.023035917431116104,0.04551404342055321,0.23034925758838654,0.274828165769577,0.02381395362317562,0.04404742270708084,0.2003350555896759,1.9794292449951172,0.2618776559829712,0.5402782559394836,0,0,0,0,0.007561683654785156,-0.00103759765625
5,0.05,5,0.05394928529858589,0,0.0245517510920763,0.045701805502176285,0.1286638081073761,0.2261333167552948,0.02536579594016075,0.04432211071252823,0.1881629377603531,1.8161839246749878,0.1802498996257782,0.44873127341270447,0,0,0,0,0.007905006408691406,-0.001476287841796875
6,0.06,6,0.05415109917521477,0,0.02506878972053528,0.04520004987716675,0.037629734724760056,0.17345505952835083,0.025850748643279076,0.04406419396400452,0.17626821994781494,1.7032361030578613,0.12881049513816833,0.40107274055480957,0,0,0,0,0.0080413818359375,-0.001834869384765625
7,0.07,7,0.054123830050230026,0,0.024596383795142174,0.044180888682603836,0.08243357390165329,0.1482979655265808,0.025323575362563133,0.04341879114508629,0.16457735002040863,1.6217470169067383,0.15119272470474243,0.38550806045532227,0,0,0,0,0.008008956909179688,-0.002124786376953125
8,0.08,8,0.05389584228396416,0,0.023155907168984413,0.04287772253155708,0.1786705106496811,0.15127764642238617,0.023837771266698837,0.042507708072662354,0.15333382785320282,1.5613017082214355,0.22696825861930847,0.38391372561454773,0,0,0,0,0.007860183715820312,-0.0023345947265625
9,0.09,9,0.05349952355027199,0,0.020786670967936516,0.041536495089530945,0.2761157751083374,0.16741131246089935,0.021478338167071342,0.041574329137802124,0.14282946288585663,1.5068508386611938,0.3152022063732147,0.389357328414917,0,0,0,0,0.007651329040527344,-0.00247955322265625
10,0.1,10,0.05270897224545479,0,0.01756136864423752,0.04033651575446129,0.3696534335613251,0.1998557597398758,0.018409913405776024,0.04110101982951164,0.13349802792072296,2.973719358444214,0.38869211077690125,0.5205671787261963,0,0,0,0,0.007424354553222656,-0.002574920654296875
11,0.11,11,0.05202581360936165,0,0.013738165609538555,0.0398174487054348,0.45357224345207214,0.294085294008255,0.01499955914914608,0.042060188949108124,0.13652420043945312,3.754361629486084,0.45504170656204224,0.5823094248771667,0,0,0,0,0.007248878479003906,-0.002681732177734375
12,0.12,12,0.05006428807973862,0,0.009906508028507233,0.03957664966583252,0.5267259478569031,0.29790475964546204,0.011827337555587292,0.04538789391517639,0.16343429684638977,6.6423773765563965,0.5045470595359802,0.9816123843193054,0,0,0,0,0.007168769836425781,-0.002838134765625
13,0.13,13,0.0462053120136261,0,0.007663890719413757,0.037944115698337555,0.43289056420326233,0.767402172088623,0.010125256143510342,0.050241854041814804,0.2017466127872467,13.159157752990723,0.39628490805625916,2.2828731536865234,0,0,0,0,0.00705718994140625,-0.0028839111328125
14,0.14,14,0.05085083842277527,0,0.007681531831622124,0.039657726883888245,0.30051541328430176,0.5627997517585754,0.011547579430043697,0.052683260291814804,0.24368563294410706,7.5306291580200195,0.3161395192146301,1.0116431713104248,0,0,0,0,0.006636619567871094,-0.002643585205078125
15,0.15,15,0.051809731870889664,0,0.009342717938125134,0.04439264535903931,0.26090967655181885,0.5739966034889221,0.01356525905430317,0.05643009394407272,0.2945448160171509,6.220059394836426,0.27753713726997375,0.8973253965377808,0,0,0,0,0.0068874359130859375,-0.00261688232421875
16,0.16,16,0.05310843139886856,0,0.011541396379470825,0.04921787977218628,0.23254571855068207,0.4352187216281891,0.015709780156612396,0.06041887402534485,0.3417508900165558,2.645833969116211,0.2416950911283493,0.6007194519042969,0,0,0,0,0.007596015930175781,-0.002712249755859375
17,0.17,17,0.05331207066774368,0,0.013652388006448746,0.0531449019908905,0.20831042528152466,0.470015287399292,0.01746223121881485,0.06249380111694336,0.35258805751800537,2.0916507244110107,0.20209118723869324,0.45178598165512085,0,0,0,0,0.008604049682617188,-0.0030670166015625
18,0.18,18,0.05344083905220032,0,0.015621304512023926,0.05699481815099716,0.20479163527488708,0.4447329044342041,0.01904962584376335,0.06450524926185608,0.3623395264148712,1.8166699409484863,0.1830759346485138,0.38832396268844604,0,0,0,0,0.009940147399902344,-0.00337982177734375
19,0.19,19,0.05349542945623398,0,0.017474018037319183,0.060447659343481064,0.20332643389701843,0.4076431095600128,0.020471958443522453,0.06640753149986267,0.36946380138397217,1.7255953550338745,0.16928726434707642,0.3796873986721039,0,0,0,0,0.011484146118164062,-0.00357818603515625
20,0.2,20,0.05354439467191696,0,0.019237305968999863,0.06347204744815826,0.1994604915380478,0.3533725440502167,0.021760469302535057,0.06837520003318787,0.3756781220436096,1.6722601652145386,0.1575128138065338,0.3783416748046875,0,0,0,0,0.013135910034179688,-0.00363922119140625
21,0.21,21,0.053578492254018784,0,0.02092515118420124,0.06602820008993149,0.19424302875995636,0.297360360622406,0.022919921204447746,0.07030940055847168,0.38105693459510803,1.5344123840332031,0.14653520286083221,0.3458532691001892,0,0,0,0,0.0148162841796875,-0.003566741943359375
22,0.22,22,0.053608834743499756,0,0.02254319377243519,0.0681140348315239,0.18670809268951416,0.23922815918922424,0.023954322561621666,0.07211501896381378,0.38587528467178345,1.4186962842941284,0.13708558678627014,0.32207855582237244,0,0,0,0,0.01647186279296875,-0.00335693359375
23,0.23,23,0.05363272503018379,0,0.02409474365413189,0.06978733092546463,0.17867161333560944,0.18562476336956024,0.0248832106590271,0.07376500964164734,0.39023590087890625,1.2294436693191528,0.12938973307609558,0.283027708530426,0,0,0,0,0.01806926727294922,-0.003017425537109375
24,0.24,24,0.05365283787250519,0,0.025582147762179375,0.07100458443164825,0.17044954001903534,0.13215288519859314,0.025711750611662865,0.07518190890550613,0.3940151333808899,1.031147837638855,0.12417522072792053,0.24639932811260223,0,0,0,0,0.019591331481933594,-0.002544403076171875
25,0.25,25,0.05365734174847603,0,0.02701493352651596,0.07180028408765793,0.16328974068164825,0.08718602359294891,0.026450149714946747,0.07635422796010971,0.39723771810531616,0.8758763670921326,0.12090888619422913,0.22359620034694672,0,0,0,0,0.02103137969970703,-0.001983642578125
26,0.26,26,0.05365161597728729,0,0.02839922159910202,0.07223645597696304,0.157679945230484,0.05091018229722977,0.02710861526429653,0.07732127606868744,0.3999817371368408,0.7899777293205261,0.11951428651809692,0.21253608167171478,0,0,0,0,0.022394180297851562,-0.001338958740234375
27,0.27,27,0.053648948669433594,0,0.029744675382971764,0.07229449599981308,0.15308161079883575,0.03380657359957695,0.02769489213824272,0.07806720584630966,0.4021643400192261,0.6280586123466492,0.11962690949440002,0.18787746131420135,0,0,0,0,0.023688316345214844,-0.0006103515625
28,0.28,28,0.053634412586688995,0,0.0310591459274292,0.07202588021755219,0.15009655058383942,0.052703797817230225,0.02821742556989193,0.07860800623893738,0.4038531184196472,0.6127414703369141,0.12130868434906006,0.18796506524085999,0,0,0,0,0.024921417236328125,0.000194549560546875
29,0.29,29,0.05362410098314285,0,0.03235626593232155,0.07144079357385635,0.14820779860019684,0.07840806990861893,0.028685426339507103,0.07896972447633743,0.40512511134147644,0.5202365517616272,0.12422312796115875,0.17471377551555634,0,0,0,0,0.0261077880859375,0.0010528564453125
30,0.3,30,0.05360567569732666,0,0.03364762291312218,0.07061465829610825,0.1477433145046234,0.10429764539003372,0.029106464236974716,0.07916683703660965,0.4060557782649994,0.5902897119522095,0.12809699773788452,0.1818850040435791,0,0,0,0,0.02726268768310547,0.00196075439453125
31,0.31,31,0.05359261482954025,0,0.034945048391819,0.06952554732561111,0.14788851141929626,0.12804684042930603,0.029491176828742027,0.07920356839895248,0.40660974383354187,0.5414068698883057,0.13258644938468933,0.1742551028728485,0,0,0,0,0.028400421142578125,0.002902984619140625
32,0.32,32,0.05358010530471802,0,0.036256782710552216,0.06825018674135208,0.14921490848064423,0.14770090579986572,0.02984832599759102,0.07910746335983276,0.406948983669281,0.5346254110336304,0.13684672117233276,0.17976510524749756,0,0,0,0,0.029529571533203125,0.003894805908203125
