playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.05538845434784889,0,0.005299689248204231,0.0005788928829133511,0.01927211694419384,0.7924013137817383,0.5591856837272644,3.809784173965454,0.005999115761369467,0.01602364517748356,0.10922594368457794,19.959266662597656,0.0,0.5772250890731812,2.9199490547180176,0,0,0,0,0.0005788803100585938,3.814697265625e-06
1,0.01,1,0.05901343375444412,0,0.011878415010869503,0.004243184812366962,0.041050057858228683,0.6751188635826111,0.4044603109359741,1.3708840608596802,0.012187572196125984,0.03423366695642471,0.20660552382469177,13.687506675720215,0.0,0.556365966796875,2.266695976257324,0,0,0,0,0.0042266845703125,0.00037384033203125
2,0.02,2,0.0680827721953392,0,0.016930468380451202,0.006604557391256094,0.045378029346466064,0.4360969662666321,0.14032863080501556,1.0529881715774536,0.017246684059500694,0.04356548935174942,0.2402760535478592,6.570675373077393,0.0,0.42921459674835205,1.3025896549224854,0,0,0,0,0.0065460205078125,0.00087738037109375
3,0.03,3,0.07225179672241211,0,0.02046721801161766,0.007717873901128769,0.044259678572416306,0.3173312544822693,0.055832650512456894,1.0950868129730225,0.02055170200765133,0.046912699937820435,0.23549619317054749,5.254513740539551,0.0,0.36190423369407654,1.3007193803787231,0,0,0,0,0.0076656341552734375,0.000896453857421875
4,0.04,4,0.07251028716564178,0,0.022898513823747635,0.008252632804214954,0.04525972530245781,0.21770767867565155,0.0376289039850235,1.0764957666397095,0.022379163652658463,0.05232350528240204,0.24317404627799988,4.910622596740723,0.0,0.3247453272342682,1.3350909948349,0,0,0,0,0.008228302001953125,0.00063323974609375
5,0.05,5,0.07331059873104095,0,0.024284424260258675,0.008492732420563698,0.048414237797260284,0.11631852388381958,0.03779378533363342,1.0969314575195312,0.023286983370780945,0.05827387794852257,0.26045823097229004,4.191989898681641,0.0,0.264926016330719,1.1158522367477417,0,0,0,0,0.008481979370117188,0.00042724609375
6,0.06,6,0.07437426596879959,0,0.02463148534297943,0.008582908660173416,0.05414711683988571,0.035693973302841187,0.03460632637143135,1.0953924655914307,0.02350192330777645,0.062291279435157776,0.27563002705574036,5.636751174926758,0.0,0.21691077947616577,0.9920675754547119,0,0,0,0,0.008563041687011719,0.000583648681640625
7,0.07,7,0.07217361032962799,0,0.02413061447441578,0.008640946820378304,0.06067444384098053,0.049435120075941086,0.03732959181070328,0.6045809984207153,0.023123446851968765,0.0603378526866436,0.2783679962158203,9.605687141418457,0.0,0.16584435105323792,1.2940711975097656,0,0,0,0,0.008581161499023438,0.00101470947265625
8,0.08,8,0.07322052121162415,0,0.02369150146842003,0.008771113120019436,0.06307511776685715,0.04812692478299141,0.03627334162592888,0.3642800748348236,0.022899387404322624,0.05942993611097336,0.289706826210022,6.46145486831665,0.0,0.13481973111629486,1.0017037391662598,0,0,0,0,0.008668899536132812,0.00133514404296875
9,0.09,9,0.07446570694446564,0,0.02332085557281971,0.009203733876347542,0.06599462032318115,0.0855017676949501,0.07809625566005707,0.37027835845947266,0.02263360284268856,0.06022409722208977,0.3145693242549896,5.296185493469238,0.0,0.12520021200180054,0.8482451438903809,0,0,0,0,0.009089469909667969,0.001445770263671875
10,0.1,10,0.07487174868583679,0,0.023050053045153618,0.009838373400270939,0.06701866537332535,0.10717672854661942,0.09995676577091217,0.3741779029369354,0.022377273067831993,0.06269247084856033,0.34127235412597656,4.142755508422852,0.0,0.1287989616394043,0.7317926287651062,0,0,0,0,0.00975799560546875,0.001255035400390625
11,0.11,11,0.07515775412321091,0,0.02277369797229767,0.01056759338825941,0.06668166071176529,0.11773376911878586,0.10585710406303406,0.3633410632610321,0.021996691823005676,0.06528088450431824,0.36543822288513184,3.386733055114746,0.0,0.14131972193717957,0.6462382674217224,0,0,0,0,0.010541915893554688,0.000736236572265625
12,0.12,12,0.07532989978790283,0,0.022433122619986534,0.011328749358654022,0.06483351439237595,0.12628218531608582,0.10609035938978195,0.44542571902275085,0.02147163450717926,0.06767332553863525,0.3865448534488678,3.0164220333099365,0.0,0.15513332188129425,0.5924807786941528,0,0,0,0,0.011328697204589844,-3.4332275390625e-05
13,0.13,13,0.07522367686033249,0,0.022014636546373367,0.012119566090404987,0.06197509914636612,0.13594596087932587,0.10629512369632721,0.5345771908760071,0.020780112594366074,0.07018375396728516,0.40500953793525696,2.8470757007598877,0.0,0.15619836747646332,0.6563923954963684,0,0,0,0,0.012078285217285156,-0.00099945068359375
14,0.14,14,0.07517310231924057,0,0.021624410524964333,0.012970983982086182,0.058475397527217865,0.14792358875274658,0.11665242165327072,0.5789895057678223,0.019849643111228943,0.07333532720804214,0.42018452286720276,2.657198429107666,0.0,0.15889674425125122,0.5928955078125,0,0,0,0,0.012792587280273438,-0.00214385986328125
15,0.15,15,0.07506801187992096,0,0.02130974642932415,0.013917840085923672,0.05487224832177162,0.152020663022995,0.11259899288415909,0.6620122790336609,0.018766364082694054,0.0767175480723381,0.43489593267440796,3.1262292861938477,0.0,0.17210642993450165,0.6454722881317139,0,0,0,0,0.013492584228515625,-0.003414154052734375
16,0.16,16,0.07501792907714844,0,0.02106919325888157,0.014833865687251091,0.05251871794462204,0.07957714796066284,0.07589749991893768,0.5446234941482544,0.017687972635030746,0.07970493286848068,0.44667017459869385,3.15033221244812,0.0,0.1315581053495407,0.7279367446899414,0,0,0,0,0.014092445373535156,-0.00463104248046875
17,0.17,17,0.07565940171480179,0,0.021356092765927315,0.015582033433020115,0.05206778645515442,0.10045260190963745,0.09996560961008072,0.16156940162181854,0.017334600910544395,0.08034402132034302,0.4487220048904419,2.259427785873413,0.0,0.10784345865249634,0.40899190306663513,0,0,0,0,0.01458740234375,-0.0054779052734375
18,0.18,18,0.07555711269378662,0,0.02188042551279068,0.016490137204527855,0.0498453788459301,0.10694196820259094,0.10689906775951385,0.30183157324790955,0.017071327194571495,0.08135837316513062,0.44974270462989807,2.6704981327056885,0.0,0.10294055938720703,0.41378921270370483,0,0,0,0,0.015241622924804688,-0.00629425048828125
19,0.19,19,0.07547297328710556,0,0.0225712638348341,0.017461208626627922,0.04746677353978157,0.10784786194562912,0.10714761167764664,0.22960887849330902,0.016910895705223083,0.08285846561193466,0.44806674122810364,3.118208885192871,0.0,0.10314995050430298,0.4432832598686218,0,0,0,0,0.015995025634765625,-0.0070037841796875
20,0.2,20,0.07564578950405121,0,0.0232843030244112,0.018410013988614082,0.045960769057273865,0.09670031070709229,0.09644828736782074,0.13901782035827637,0.01684512384235859,0.08436505496501923,0.4465668201446533,3.014876127243042,0.0,0.09735922515392303,0.3923952579498291,0,0,0,0,0.016740798950195312,-0.007659912109375
21,0.21,21,0.07579319924116135,0,0.023891985416412354,0.019265778362751007,0.044884610921144485,0.08240202069282532,0.08235837519168854,0.11975599825382233,0.016778532415628433,0.08526241779327393,0.44434016942977905,2.704479455947876,0.0,0.09264171123504639,0.3533365726470947,0,0,0,0,0.017411231994628906,-0.00824737548828125
22,0.22,22,0.07599490880966187,0,0.02436203509569168,0.020004043355584145,0.043953340500593185,0.07067157328128815,0.06933273375034332,0.12408868968486786,0.016680430620908737,0.08561620116233826,0.4417782425880432,2.168275833129883,0.0,0.08801800012588501,0.30205655097961426,0,0,0,0,0.017995834350585938,-0.00873565673828125
23,0.23,23,0.0761764720082283,0,0.024693243205547333,0.020628344267606735,0.04310695081949234,0.0642847865819931,0.05930662900209427,0.12612241506576538,0.016497038304805756,0.08561830967664719,0.438893586397171,1.6100295782089233,0.0,0.08504883944988251,0.2491108626127243,0,0,0,0,0.018509864807128906,-0.009105682373046875
24,0.24,24,0.07628235965967178,0,0.02492603473365307,0.02118420973420143,0.042381878942251205,0.06435120105743408,0.05347398295998573,0.12061476707458496,0.016203327104449272,0.08536490797996521,0.43573927879333496,1.3462342023849487,0.0,0.08543559163808823,0.21626202762126923,0,0,0,0,0.018982887268066406,-0.009403228759765625
25,0.25,25,0.07637058198451996,0,0.025104381144046783,0.021711384877562523,0.041868917644023895,0.06751257926225662,0.0517321415245533,0.11843413859605789,0.015816641971468925,0.08493002504110336,0.4325573444366455,0.9230390191078186,0.0,0.08572137355804443,0.16805016994476318,0,0,0,0,0.01945781707763672,-0.009632110595703125
26,0.26,26,0.0763668417930603,0,0.02527276799082756,0.022242287173867226,0.041490450501441956,0.07447916269302368,0.054845646023750305,0.11519471555948257,0.015361937694251537,0.08437854051589966,0.4294588267803192,1.106780767440796,0.0,0.08946244418621063,0.1967533677816391,0,0,0,0,0.01996135711669922,-0.0098114013671875
27,0.27,27,0.07633638381958008,0,0.025469329208135605,0.02280721254646778,0.04122826084494591,0.08074422180652618,0.05973030999302864,0.11194997280836105,0.014874625019729137,0.08380099385976791,0.42677390575408936,1.342653512954712,0.0,0.09210608899593353,0.22609548270702362,0,0,0,0,0.020519256591796875,-0.00995635986328125
