playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.07299266010522842,0,0.00037668540608137846,0.0003733829944394529,0.00175745680462569,0.10354478657245636,0.06767909228801727,0.23183296620845795,0.0007380492752417922,0.004580320790410042,0.024625973775982857,3.6170427799224854,0.0,0.15154708921909332,0.685283362865448,0,0,0,0,0.0003733634948730469,3.814697265625e-06
1,0.01,1,0.07465039193630219,0,0.0017123931320384145,0.0008200081065297127,0.005501571111381054,0.19044017791748047,0.06471594423055649,0.5312157273292542,0.0029035317711532116,0.011315192095935345,0.0631655901670456,4.0123820304870605,0.0,0.25553297996520996,0.7264745235443115,0,0,0,0,0.0008187294006347656,-4.57763671875e-05
2,0.02,2,0.0744805857539177,0,0.004111127927899361,0.0012492063688114285,0.010401558130979538,0.2873817980289459,0.07085885107517242,0.4843927323818207,0.006240618880838156,0.018931521102786064,0.10796338319778442,4.747589111328125,0.0,0.3623877167701721,0.8456088900566101,0,0,0,0,0.0012412071228027344,-0.000141143798828125
3,0.03,3,0.07381542026996613,0,0.007536776829510927,0.0018060451839119196,0.014006047509610653,0.38564151525497437,0.07260619848966599,0.32730478048324585,0.010591979138553143,0.027629485353827477,0.15709476172924042,5.056886196136475,0.0,0.45680856704711914,0.9028149843215942,0,0,0,0,0.0017838478088378906,-0.00028228759765625
4,0.04,4,0.07399724423885345,0,0.009382243268191814,0.0018998442683368921,0.014488979242742062,0.0858614519238472,0.04195654019713402,0.35013893246650696,0.012369679287075996,0.028217006474733353,0.16326574981212616,2.366804599761963,0.0,0.10678553581237793,0.4895026385784149,0,0,0,0,0.0018067359924316406,-0.00058746337890625
5,0.05,5,0.07295305281877518,0,0.009876750409603119,0.0025520925410091877,0.015992164611816406,0.11616846174001694,0.11593130975961685,0.2884098291397095,0.012821856886148453,0.030251096934080124,0.17926017940044403,2.734321117401123,0.0,0.09255268424749374,0.5182830691337585,0,0,0,0,0.0023717880249023438,-0.000942230224609375
6,0.06,6,0.07306917011737823,0,0.00997156836092472,0.003706571878865361,0.017480691894888878,0.1487456113100052,0.1390375792980194,0.24295105040073395,0.012961681000888348,0.03515244647860527,0.20509539544582367,3.366624116897583,0.0,0.10537123680114746,0.6671773791313171,0,0,0,0,0.0034971237182617188,-0.00122833251953125
7,0.07,7,0.07342182844877243,0,0.00998375378549099,0.004790253471583128,0.01910034567117691,0.11761584877967834,0.10605427622795105,0.3577764332294464,0.013051597401499748,0.04039306938648224,0.23238100111484528,3.1267223358154297,0.0,0.09778790175914764,0.5775309801101685,0,0,0,0,0.004585742950439453,-0.001384735107421875
8,0.08,8,0.07437064498662949,0,0.01004733331501484,0.005585899110883474,0.020373227074742317,0.08838319033384323,0.07815250754356384,0.10170638561248779,0.013173486106097698,0.04434966295957565,0.25600534677505493,2.671886444091797,0.0,0.08500682562589645,0.4664364755153656,0,0,0,0,0.005393505096435547,-0.001453399658203125
9,0.09,9,0.0742831602692604,0,0.010146205313503742,0.006141242105513811,0.020678352564573288,0.056742556393146515,0.049668844789266586,0.10368355363607407,0.013313869945704937,0.04691653698682785,0.2760198414325714,2.5403780937194824,0.0,0.0788063108921051,0.43653568625450134,0,0,0,0,0.005970478057861328,-0.001438140869140625
10,0.1,10,0.07463976740837097,0,0.0102927777916193,0.006503117270767689,0.02030772715806961,0.03765220195055008,0.03575461730360985,0.0958571508526802,0.013480804860591888,0.04830946773290634,0.29279178380966187,2.2966723442077637,0.0,0.07289095222949982,0.3927987515926361,0,0,0,0,0.006354808807373047,-0.00138092041015625
11,0.11,11,0.07426656037569046,0,0.01053171418607235,0.0069118100218474865,0.019269632175564766,0.05013492330908775,0.04844092205166817,0.21687637269496918,0.013654078356921673,0.04998919367790222,0.3086492121219635,2.059690237045288,0.0,0.07452487200498581,0.41950976848602295,0,0,0,0,0.006767749786376953,-0.00140380859375
12,0.12,12,0.07463651895523071,0,0.010872097685933113,0.007438554894179106,0.018052155151963234,0.05224551633000374,0.05185649171471596,0.19508230686187744,0.013863520696759224,0.052197448909282684,0.32397329807281494,1.891152262687683,0.0,0.07131092250347137,0.40774649381637573,0,0,0,0,0.007305622100830078,-0.001399993896484375
13,0.13,13,0.07407649606466293,0,0.011219735257327557,0.007871007546782494,0.017818082123994827,0.04957220330834389,0.04911990091204643,0.047824785113334656,0.01412150077521801,0.05394654721021652,0.3377068340778351,1.9760668277740479,0.0,0.0717470571398735,0.3615761697292328,0,0,0,0,0.007767200469970703,-0.00127410888671875
14,0.14,14,0.07455839216709137,0,0.011591047048568726,0.008218805305659771,0.017735274508595467,0.04580959677696228,0.04349708929657936,0.06515634804964066,0.014404986053705215,0.05550019443035126,0.35005930066108704,1.7508970499038696,0.0,0.07022441178560257,0.2995726764202118,0,0,0,0,0.008150100708007812,-0.00106048583984375
15,0.15,15,0.07476227730512619,0,0.012044797651469707,0.008632715791463852,0.016802825033664703,0.05483316630125046,0.05212104320526123,0.14097757637500763,0.014712739735841751,0.05714073032140732,0.3616967797279358,1.5608112812042236,0.0,0.07263737171888351,0.3231368660926819,0,0,0,0,0.008595466613769531,-0.00080108642578125
16,0.16,16,0.07459869235754013,0,0.012536662630736828,0.00909885112196207,0.016191493719816208,0.06770048290491104,0.0655202865600586,0.07635229080915451,0.015042830258607864,0.058844178915023804,0.37312036752700806,1.476646900177002,0.0,0.07679455727338791,0.2577841281890869,0,0,0,0,0.009088993072509766,-0.000423431396484375
17,0.17,17,0.07447970658540726,0,0.013004018925130367,0.009481956250965595,0.016321800649166107,0.06393220275640488,0.05915633589029312,0.08986923843622208,0.015387686900794506,0.06016942858695984,0.3831016421318054,1.701912522315979,0.0,0.08086439967155457,0.2938006818294525,0,0,0,0,0.00948190689086914,3.0517578125e-05
18,0.18,18,0.07460974901914597,0,0.013438938185572624,0.009728530421853065,0.0166308656334877,0.06815645843744278,0.05864078179001808,0.021225325763225555,0.01576371118426323,0.06109347939491272,0.3914230763912201,1.8692307472229004,0.0,0.08887907862663269,0.32591211795806885,0,0,0,0,0.00971364974975586,0.000537872314453125
19,0.19,19,0.07447860389947891,0,0.013924473896622658,0.009986512362957,0.016566487029194832,0.07324553281068802,0.06270107626914978,0.02782989665865898,0.016176961362361908,0.06191282719373703,0.39995747804641724,1.9482553005218506,0.0,0.09041491150856018,0.3421127200126648,0,0,0,0,0.009926319122314453,0.001094818115234375
20,0.2,20,0.07444602996110916,0,0.01453934796154499,0.010433855466544628,0.016156625002622604,0.08113134652376175,0.07334769517183304,0.09266853332519531,0.01663387194275856,0.06301946938037872,0.40963199734687805,1.7711180448532104,0.0,0.09011191129684448,0.36163339018821716,0,0,0,0,0.010299205780029297,0.00167083740234375
21,0.21,21,0.07444348931312561,0,0.015289785340428352,0.011117208749055862,0.016075430437922478,0.0972035676240921,0.09282489866018295,0.09273865073919296,0.017106270417571068,0.06458865851163864,0.4200684428215027,1.6216830015182495,0.0,0.09042523801326752,0.360154390335083,0,0,0,0,0.01088857650756836,0.0022430419921875
22,0.22,22,0.07412799447774887,0,0.01611139066517353,0.011936631053686142,0.01630638726055622,0.09663986414670944,0.09318691492080688,0.12378426641225815,0.01755499467253685,0.0660579726099968,0.4294721186161041,1.2272809743881226,0.0,0.09004229307174683,0.2489541620016098,0,0,0,0,0.01159524917602539,0.002834320068359375
23,0.23,23,0.07437865436077118,0,0.01701323501765728,0.01288787554949522,0.016460424289107323,0.11016783863306046,0.10757385939359665,0.14385393261909485,0.017975833266973495,0.06738896667957306,0.43796226382255554,1.1766568422317505,0.0,0.09047289192676544,0.22097653150558472,0,0,0,0,0.012426376342773438,0.00341796875
24,0.24,24,0.07442905008792877,0,0.017984719946980476,0.013888256624341011,0.01692040264606476,0.1076563224196434,0.10326065123081207,0.13596677780151367,0.018429193645715714,0.06867438554763794,0.4456835687160492,1.1115572452545166,0.0,0.09129824489355087,0.22034993767738342,0,0,0,0,0.013306140899658203,0.003978729248046875
25,0.25,25,0.0742371454834938,0,0.018959853798151016,0.014822464436292648,0.01751399040222168,0.10431654751300812,0.09734957665205002,0.11621693521738052,0.018904808908700943,0.06975209712982178,0.45241737365722656,1.0819953680038452,0.0,0.09525296092033386,0.22299954295158386,0,0,0,0,0.014113903045654297,0.004528045654296875
26,0.26,26,0.0742906779050827,0,0.019970474764704704,0.015772363170981407,0.017899151891469955,0.11164689809083939,0.10452792048454285,0.035593144595623016,0.01937178336083889,0.07094843685626984,0.4595828354358673,1.1678229570388794,0.0,0.09954001009464264,0.24996069073677063,0,0,0,0,0.014914512634277344,0.005130767822265625
27,0.27,27,0.07396962493658066,0,0.021144691854715347,0.016944849863648415,0.017804428935050964,0.13087639212608337,0.1264365166425705,0.1333971619606018,0.01984316110610962,0.07255418598651886,0.4673888683319092,1.1798433065414429,0.0,0.1003664880990982,0.2589006721973419,0,0,0,0,0.01594400405883789,0.0057373046875
28,0.28,28,0.07420679926872253,0,0.02239888533949852,0.018200956284999847,0.01765555888414383,0.12694212794303894,0.12104469537734985,0.0900009498000145,0.020341558381915092,0.07413482666015625,0.47430601716041565,0.8866110444068909,0.0,0.10306885093450546,0.2164028286933899,0,0,0,0,0.01708078384399414,0.00628662109375
29,0.29,29,0.0738467276096344,0,0.023582588881254196,0.019319962710142136,0.017498211935162544,0.11703764647245407,0.108226478099823,0.025676915422081947,0.020861616358160973,0.07562130689620972,0.4802171289920807,1.2815780639648438,0.0,0.10988864302635193,0.2894315719604492,0,0,0,0,0.01810169219970703,0.00675201416015625
30,0.3,30,0.0731382668018341,0,0.024841386824846268,0.020525507628917694,0.017537003383040428,0.1390223205089569,0.13172495365142822,0.1153864711523056,0.02135314606130123,0.07705449312925339,0.4864778518676758,1.1393139362335205,0.0,0.11410491168498993,0.2979278564453125,0,0,0,0,0.019197463989257812,0.00726318359375
31,0.31,31,0.07372152805328369,0,0.02614728920161724,0.021777447313070297,0.017688719555735588,0.1282210350036621,0.11943695694208145,0.09539790451526642,0.021858055144548416,0.07850652933120728,0.49278149008750916,0.9800854325294495,0.0,0.11733095347881317,0.2848789393901825,0,0,0,0,0.020301342010498047,0.00788116455078125
32,0.32,32,0.07384298741817474,0,0.0274030938744545,0.022930316627025604,0.017864421010017395,0.12914040684700012,0.11924540251493454,0.06438297033309937,0.02241285890340805,0.08000019192695618,0.4980146288871765,1.065687656402588,0.0,0.12044192850589752,0.26098865270614624,0,0,0,0,0.02132129669189453,0.0084381103515625
33,0.33,33,0.07381561398506165,0,0.02875838801264763,0.0242001973092556,0.01787707395851612,0.14270763099193573,0.1349770873785019,0.09159897267818451,0.02296265959739685,0.08169326186180115,0.5035515427589417,1.0202885866165161,0.0,0.12250485271215439,0.2622902989387512,0,0,0,0,0.022495269775390625,0.008922576904296875
34,0.34,34,0.07377371937036514,0,0.03018350899219513,0.025560682639479637,0.017721623182296753,0.14112214744091034,0.13310296833515167,0.11137118190526962,0.023543059825897217,0.08332302421331406,0.5081916451454163,0.8543669581413269,0.0,0.12475457042455673,0.24824115633964539,0,0,0,0,0.023792266845703125,0.009342193603515625
35,0.35000000000000003,35,0.07376847416162491,0,0.03158005326986313,0.02686837501823902,0.017425553873181343,0.13378791511058807,0.12410567700862885,0.10854628682136536,0.02416386269032955,0.08488067984580994,0.5114296674728394,1.0112756490707397,0.0,0.1284697949886322,0.2512460947036743,0,0,0,0,0.025051593780517578,0.00971221923828125
36,0.36,36,0.0737062618136406,0,0.032895393669605255,0.028041113168001175,0.017178773880004883,0.12397047877311707,0.11066307872533798,0.08571632951498032,0.024815915152430534,0.08638119697570801,0.5145479440689087,1.3390963077545166,0.0,0.13381193578243256,0.3061755299568176,0,0,0,0,0.026190757751464844,0.01001739501953125
37,0.37,37,0.07326552271842957,0,0.03419364243745804,0.02916450798511505,0.017034539952874184,0.13407717645168304,0.12170416116714478,0.15340176224708557,0.025482051074504852,0.08781345933675766,0.5170530080795288,1.3070672750473022,0.0,0.13630959391593933,0.298911452293396,0,0,0,0,0.02734661102294922,0.010135650634765625
38,0.38,38,0.07335830479860306,0,0.03558729216456413,0.03042409010231495,0.01682034693658352,0.14997851848602295,0.14097505807876587,0.1330944001674652,0.026120569556951523,0.08897887170314789,0.5185944437980652,0.9357768297195435,0.0,0.13616809248924255,0.22060462832450867,0,0,0,0,0.028702259063720703,0.010089874267578125
39,0.39,39,0.07327289879322052,0,0.03706347569823265,0.03181388974189758,0.01669148914515972,0.1624537855386734,0.15520307421684265,0.05384858697652817,0.02675434574484825,0.08996747434139252,0.5202798247337341,0.7661553025245667,0.0,0.13891977071762085,0.1995473951101303,0,0,0,0,0.030205726623535156,0.00998687744140625
40,0.4,40,0.07340388745069504,0,0.03855504095554352,0.03320891410112381,0.016652125865221024,0.15198774635791779,0.1422521024942398,0.07595011591911316,0.02742854878306389,0.09107351303100586,0.5229160785675049,0.6827670931816101,0.0,0.14187656342983246,0.22317759692668915,0,0,0,0,0.031687259674072266,0.009937286376953125
41,0.41000000000000003,41,0.07330643385648727,0,0.040004294365644455,0.034514419734478,0.017548831179738045,0.15177223086357117,0.13984262943267822,0.21611391007900238,0.02817019633948803,0.09226585924625397,0.5251594185829163,0.9671148061752319,0.0,0.14744065701961517,0.2638329267501831,0,0,0,0,0.03306436538696289,0.009899139404296875
42,0.42,42,0.07302859425544739,0,0.04154123365879059,0.03593413531780243,0.018859924748539925,0.16677792370319366,0.15823744237422943,0.19500324130058289,0.028913334012031555,0.09386198967695236,0.5291364789009094,1.0538936853408813,0.0,0.15189145505428314,0.28049391508102417,0,0,0,0,0.03457307815551758,0.009796142578125
43,0.43,43,0.07209569215774536,0,0.04313195124268532,0.037450727075338364,0.020276952534914017,0.17091204226016998,0.16279186308383942,0.15682876110076904,0.02967335283756256,0.09622840583324432,0.5378291010856628,2.1108694076538086,0.0,0.16235601902008057,0.44404280185699463,0,0,0,0,0.03617048263549805,0.009708404541015625
44,0.44,44,0.07192305475473404,0,0.04477466270327568,0.03906118869781494,0.022019313648343086,0.18849599361419678,0.17780451476573944,0.30928677320480347,0.03046853095293045,0.09911800920963287,0.5504529476165771,2.9243266582489014,0.0,0.18039362132549286,0.5946974754333496,0,0,0,0,0.03784036636352539,0.0096893310546875
45,0.45,45,0.07193867862224579,0,0.04643460363149643,0.04069200158119202,0.024788137525320053,0.18434542417526245,0.17578771710395813,0.2864742577075958,0.031314969062805176,0.10191279649734497,0.5632265210151672,2.5401113033294678,0.0,0.17825500667095184,0.5022335648536682,0,0,0,0,0.03953742980957031,0.009624481201171875
46,0.46,46,0.0717490166425705,0,0.04800131916999817,0.04219607636332512,0.026531245559453964,0.1765187680721283,0.1653236448764801,0.2636496424674988,0.032184306532144547,0.1043926477432251,0.5750815272331238,2.955639123916626,0.0,0.1833852380514145,0.49373769760131836,0,0,0,0,0.041136741638183594,0.009395599365234375
