playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.060749929398298264,0,0.005299771670252085,0.0005687098018825054,0.019499748945236206,0.7927165031433105,0.5593116879463196,3.8688509464263916,0.006000699009746313,0.01611725240945816,0.10927063226699829,20.038997650146484,0.0,0.5769088268280029,2.931358814239502,0,0,0,0,0.000568389892578125,1.9073486328125e-05
1,0.01,1,0.06565605103969574,0,0.011829991824924946,0.004189740400761366,0.04070011526346207,0.660830557346344,0.3893126845359802,0.7939006090164185,0.012139389291405678,0.03377867490053177,0.20466814935207367,12.35193157196045,0.0,0.552668571472168,2.000330686569214,0,0,0,0,0.004178047180175781,0.00031280517578125
2,0.02,2,0.07473926991224289,0,0.016964221373200417,0.006795180961489677,0.04058852419257164,0.45238369703292847,0.17871487140655518,0.7181504964828491,0.01711849868297577,0.04223769158124924,0.231550931930542,6.817570686340332,0.0,0.4266287684440613,1.1727092266082764,0,0,0,0,0.0067539215087890625,0.0007476806640625
3,0.03,3,0.07852295786142349,0,0.020673472434282303,0.008318539708852768,0.03784913569688797,0.32388296723365784,0.09044153988361359,0.6229556798934937,0.020575590431690216,0.04522324725985527,0.22174100577831268,4.261643886566162,0.0,0.32991844415664673,0.9171687960624695,0,0,0,0,0.0082550048828125,0.001026153564453125
4,0.04,4,0.07910456508398056,0,0.023191168904304504,0.009183688089251518,0.036198828369379044,0.21518628299236298,0.04329352080821991,0.5139821767807007,0.022645745426416397,0.04955869913101196,0.22622211277484894,3.8741226196289062,0.0,0.2644328474998474,0.8976819515228271,0,0,0,0,0.009098052978515625,0.001251220703125
5,0.05,5,0.08009308576583862,0,0.024601198732852936,0.009621833451092243,0.035353850573301315,0.10649784654378891,0.012761116027832031,0.5012859106063843,0.023600134998559952,0.053958069533109665,0.23716536164283752,2.9576313495635986,0.0,0.19757387042045593,0.6810183525085449,0,0,0,0,0.009509086608886719,0.001468658447265625
6,0.06,6,0.08072356134653091,0,0.02492675371468067,0.009758532047271729,0.03485860303044319,0.023392848670482635,0.02331756241619587,0.4347738027572632,0.023618197068572044,0.05643504858016968,0.2437218427658081,2.330176591873169,0.0,0.15268699824810028,0.4901967942714691,0,0,0,0,0.009606361389160156,0.00171661376953125
7,0.07,7,0.0807712972164154,0,0.024246295914053917,0.009743043221533298,0.03569088876247406,0.10157395899295807,0.022231630980968475,0.3770737051963806,0.022813376039266586,0.057153087109327316,0.24634483456611633,2.387932777404785,0.0,0.1868971586227417,0.49666962027549744,0,0,0,0,0.009535789489746094,0.0019989013671875
8,0.08,8,0.0806722566485405,0,0.022739963605999947,0.00970036443322897,0.036905527114868164,0.1874718815088272,0.008001448586583138,0.3306974768638611,0.021323736757040024,0.053671568632125854,0.23924477398395538,2.6812243461608887,0.0,0.22984181344509125,0.5218106508255005,0,0,0,0,0.009435653686523438,0.00225067138671875
9,0.09,9,0.07997600734233856,0,0.020891224965453148,0.009663907811045647,0.03555859252810478,0.19187402725219727,0.02563389390707016,0.27944913506507874,0.019636012613773346,0.05157080292701721,0.239657461643219,4.934176445007324,0.0,0.22798459231853485,0.6268752217292786,0,0,0,0,0.009360313415527344,0.00240325927734375
10,0.1,10,0.07951972633600235,0,0.01899448223412037,0.009770309552550316,0.034456901252269745,0.21690569818019867,0.030414516106247902,0.3613612949848175,0.017907289788126945,0.051750682294368744,0.25483712553977966,5.214838027954102,0.0,0.2508434057235718,0.6195259094238281,0,0,0,0,0.009463310241699219,0.002429962158203125
11,0.11,11,0.07898233085870743,0,0.01707007922232151,0.009918094612658024,0.03378475829958916,0.22080108523368835,0.031029483303427696,0.28398409485816956,0.01619299128651619,0.05371198058128357,0.2829558551311493,5.681571960449219,0.0,0.23360013961791992,0.657686173915863,0,0,0,0,0.009653091430664062,0.002277374267578125
12,0.12,12,0.07838577777147293,0,0.015295613557100296,0.010055216029286385,0.033942874521017075,0.2165958434343338,0.03644665330648422,0.25184738636016846,0.014507634565234184,0.05658799037337303,0.3253789246082306,5.673174858093262,0.0,0.23079833388328552,0.6225712299346924,0,0,0,0,0.009866714477539062,0.0019378662109375
13,0.13,13,0.07865826785564423,0,0.01395884808152914,0.0100501524284482,0.03667277470231056,0.14760912954807281,0.040650516748428345,0.3537335991859436,0.013248506002128124,0.057782046496868134,0.3662776052951813,5.194581508636475,0.0,0.16959576308727264,0.6834818720817566,0,0,0,0,0.009899139404296875,0.001735687255859375
14,0.14,14,0.079738549888134,0,0.01299984473735094,0.010012159124016762,0.038121502846479416,0.09619894623756409,0.05407577008008957,0.23164112865924835,0.012179519049823284,0.05755622312426567,0.3872683346271515,2.025554895401001,0.0,0.10760365426540375,0.44329118728637695,0,0,0,0,0.009926795959472656,0.00130462646484375
15,0.15,15,0.08000104874372482,0,0.01250576414167881,0.009996697306632996,0.03851279243826866,0.07767366617918015,0.05762568488717079,0.21280068159103394,0.011327004060149193,0.05671721696853638,0.38255083560943604,1.7017769813537598,0.0,0.0991806834936142,0.411349892616272,0,0,0,0,0.009977340698242188,0.000621795654296875
16,0.16,16,0.08038654923439026,0,0.012263821437954903,0.010111834853887558,0.03782614693045616,0.06275708973407745,0.05379936099052429,0.1509191393852234,0.010646656155586243,0.05696149170398712,0.38491880893707275,1.3460400104522705,0.0,0.09476041793823242,0.3627657890319824,0,0,0,0,0.010111808776855469,-2.288818359375e-05
17,0.17,17,0.0805571898818016,0,0.01215618196874857,0.010260405018925667,0.03573983535170555,0.053860802203416824,0.04935697093605995,0.20443949103355408,0.010158246383070946,0.05791229009628296,0.38677024841308594,1.3986518383026123,0.0,0.09709497541189194,0.3871615529060364,0,0,0,0,0.010242462158203125,-0.000606536865234375
18,0.18,18,0.08059371262788773,0,0.012104058638215065,0.010405123233795166,0.03312133625149727,0.05023175850510597,0.04898789897561073,0.2790057063102722,0.009802378714084625,0.05943731591105461,0.3876996636390686,1.7173532247543335,0.0,0.09686591476202011,0.4357444643974304,0,0,0,0,0.010344505310058594,-0.00112152099609375
19,0.19,19,0.08056540042161942,0,0.0120981615036726,0.010543457232415676,0.030483456328511238,0.0481274388730526,0.04802987724542618,0.26429542899131775,0.009546618908643723,0.061067353934049606,0.38405728340148926,2.254453659057617,0.0,0.09724123775959015,0.4822715222835541,0,0,0,0,0.010415077209472656,-0.00164031982421875
20,0.2,20,0.08060330897569656,0,0.01215771771967411,0.010714811272919178,0.028315771371126175,0.0453454814851284,0.04534071683883667,0.24985970556735992,0.009383538737893105,0.0626501739025116,0.377046138048172,2.398310422897339,0.0,0.09587299823760986,0.481670618057251,0,0,0,0,0.010494232177734375,-0.002162933349609375
