playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.07887878268957138,0,0.0003617117181420326,0.0003566668601706624,0.0027785010170191526,0.0937914028763771,0.05306447669863701,0.3260849714279175,0.0006713128532283008,0.004166665952652693,0.022756876423954964,3.2595417499542236,0.0,0.14075994491577148,0.6121008396148682,0,0,0,0,0.0003457069396972656,8.7738037109375e-05
1,0.01,1,0.08078129589557648,0,0.0017625655746087432,0.0008891018223948777,0.005991164594888687,0.181479349732399,0.05029166117310524,0.2777266204357147,0.0027101305313408375,0.010585002601146698,0.05725819244980812,3.4508023262023926,0.0,0.2375672310590744,0.5918786525726318,0,0,0,0,0.0008492469787597656,0.000263214111328125
2,0.02,2,0.08065620809793472,0,0.004200004041194916,0.0013310834765434265,0.00864921323955059,0.27872568368911743,0.04411653056740761,0.2389390766620636,0.005749758332967758,0.016739100217819214,0.09150081127882004,3.3297383785247803,0.0,0.32948946952819824,0.5815346240997314,0,0,0,0,0.0012669563293457031,0.000408172607421875
3,0.03,3,0.07967053353786469,0,0.007656276226043701,0.001747855800203979,0.010319081135094166,0.3829984664916992,0.046287234872579575,0.17786091566085815,0.009705420583486557,0.02228773757815361,0.1227305606007576,3.127485513687134,0.0,0.42309534549713135,0.5788836479187012,0,0,0,0,0.001689910888671875,0.000446319580078125
4,0.04,4,0.07873864471912384,0,0.010480198077857494,0.0017361886566504836,0.011102299205958843,0.1389075517654419,0.024755405262112617,0.28468480706214905,0.012479908764362335,0.023246552795171738,0.12158980965614319,1.7451640367507935,0.0,0.13932296633720398,0.3773225247859955,0,0,0,0,0.0016875267028808594,0.000408172607421875
5,0.05,5,0.07887139171361923,0,0.011477507650852203,0.001875640475191176,0.014454223215579987,0.09366444498300552,0.07486078143119812,0.4100111424922943,0.01332707516849041,0.022908806800842285,0.11525601148605347,1.3822165727615356,0.0,0.09271985292434692,0.3000648617744446,0,0,0,0,0.001873016357421875,9.918212890625e-05
6,0.06,6,0.0784120187163353,0,0.011946732178330421,0.002589998533949256,0.017617618665099144,0.0967242494225502,0.09667565673589706,0.31964683532714844,0.013787230476737022,0.02635003626346588,0.12371338903903961,2.1747214794158936,0.0,0.07278980314731598,0.5100721716880798,0,0,0,0,0.0025877952575683594,-0.0001068115234375
7,0.07,7,0.07866286486387253,0,0.012208092026412487,0.0033169318921864033,0.02134556509554386,0.07163383066654205,0.0714331567287445,0.37129050493240356,0.01408588420599699,0.030498214066028595,0.1380530148744583,1.8947943449020386,0.0,0.06717126071453094,0.430611252784729,0,0,0,0,0.003315448760986328,-9.918212890625e-05
8,0.08,8,0.0796440988779068,0,0.012474903836846352,0.0038229937199503183,0.023311229422688484,0.05457768216729164,0.05417655035853386,0.1434464454650879,0.014410177245736122,0.03382071480154991,0.14961417019367218,1.4483610391616821,0.0,0.06257370114326477,0.323946475982666,0,0,0,0,0.003822803497314453,3.814697265625e-05
9,0.09,9,0.07943408191204071,0,0.012785814702510834,0.004202350974082947,0.024577897042036057,0.04457258805632591,0.04151266813278198,0.1550654023885727,0.014741453342139721,0.03560306131839752,0.15792295336723328,1.4270366430282593,0.0,0.06789825856685638,0.3001823127269745,0,0,0,0,0.004195690155029297,0.00023651123046875
