playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.0604865737259388,0,0.005301126278936863,0.0005636344430968165,0.019499069079756737,0.7923933863639832,0.558652937412262,3.886704206466675,0.0060041225515306,0.01605048030614853,0.10938072949647903,20.05883026123047,0.0,0.5797226428985596,2.939190626144409,0,0,0,0,0.0005636215209960938,3.814697265625e-06
1,0.01,1,0.06436558812856674,0,0.011788415722548962,0.004031449090689421,0.04257708787918091,0.6559033393859863,0.37728971242904663,1.5405118465423584,0.0121507178992033,0.034712277352809906,0.20714755356311798,13.092392921447754,0.0,0.5499652028083801,2.270347833633423,0,0,0,0,0.004024505615234375,0.00023651123046875
2,0.02,2,0.0736648291349411,0,0.016758013516664505,0.00616470817476511,0.04844801127910614,0.4524940550327301,0.1548939198255539,0.7981008291244507,0.017158539965748787,0.045050084590911865,0.23673972487449646,6.473372936248779,0.0,0.42412957549095154,1.2163288593292236,0,0,0,0,0.006138801574707031,0.0005645751953125
3,0.03,3,0.07773856818675995,0,0.02042723074555397,0.007309786509722471,0.0465940497815609,0.32139062881469727,0.05504228174686432,0.8018513917922974,0.0205680038779974,0.04916856810450554,0.22815850377082825,5.574963092803955,0.0,0.34175190329551697,0.9124588966369629,0,0,0,0,0.0072994232177734375,0.00038909912109375
4,0.04,4,0.07850354164838791,0,0.022796422243118286,0.007639353163540363,0.04480047523975372,0.2164238840341568,0.05270534008741379,0.9371935129165649,0.022567881271243095,0.051307063549757004,0.22010929882526398,4.580719470977783,0.0,0.28399893641471863,0.9137735366821289,0,0,0,0,0.007637977600097656,-0.00014495849609375
5,0.05,5,0.07919177412986755,0,0.024054333567619324,0.007576745469123125,0.047249685972929,0.12255586683750153,0.05947020649909973,1.0978484153747559,0.023543737828731537,0.05340299755334854,0.21769225597381592,3.2686333656311035,0.0,0.23244278132915497,0.9757482409477234,0,0,0,0,0.007544517517089844,-0.000698089599609375
6,0.06,6,0.07947903126478195,0,0.024317018687725067,0.007395248860120773,0.05339426547288895,0.05406108871102333,0.05353895574808121,0.9948747158050537,0.023801516741514206,0.0560670867562294,0.2177751213312149,2.4122424125671387,0.0,0.20915064215660095,1.030079960823059,0,0,0,0,0.00731658935546875,-0.00107574462890625
7,0.07,7,0.07946603745222092,0,0.023631371557712555,0.007204933557659388,0.05997378006577492,0.1002541333436966,0.042331546545028687,0.8338216543197632,0.02348281443119049,0.05903635546565056,0.21910303831100464,2.3542890548706055,0.0,0.24555397033691406,0.9982154369354248,0,0,0,0,0.0070934295654296875,-0.001262664794921875
8,0.08,8,0.0794658213853836,0,0.02202269434928894,0.007049974519759417,0.0657716765999794,0.19080214202404022,0.030560921877622604,0.6593263745307922,0.022532492876052856,0.061451833695173264,0.22184965014457703,2.6011407375335693,0.0,0.3080920875072479,0.9479120969772339,0,0,0,0,0.006927490234375,-0.001308441162109375
9,0.09,9,0.07853839546442032,0,0.019573114812374115,0.006975957192480564,0.07043252140283585,0.27149900794029236,0.005833820905536413,0.5539558529853821,0.021074846386909485,0.06395471096038818,0.22648708522319794,4.835702419281006,0.0,0.3293643891811371,1.158816933631897,0,0,0,0,0.0068607330322265625,-0.001262664794921875
