playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.05353260785341263,0,0.007031730841845274,0.00025707081658765674,0.01147900614887476,0.8187293410301208,0.5489251613616943,2.270601987838745,0.007774570491164923,0.01624135673046112,0.13145789504051208,22.86149024963379,0.0,0.7164411544799805,3.511143445968628,0,0,0,0,0.00025362148880958557,4.1961669921875e-05
1,0.01,1,0.0629768967628479,0,0.01603831723332405,0.001820104313082993,0.023296933621168137,0.7591469883918762,0.35703974962234497,1.309186339378357,0.01646656170487404,0.027006611227989197,0.21454963088035583,13.323613166809082,0.0,0.6478022336959839,1.9576880931854248,0,0,0,0,0.0017078043892979622,0.000629425048828125
2,0.02,2,0.06847082078456879,0,0.02312413416802883,0.003659381065517664,0.029905518516898155,0.6225374937057495,0.13815273344516754,1.460632085800171,0.02238275483250618,0.03861534968018532,0.26817989349365234,12.643285751342773,0.0,0.6200834512710571,1.9725980758666992,0,0,0,0,0.0034174611791968346,0.001308441162109375
3,0.03,3,0.07430576533079147,0,0.028678197413682938,0.00423308415338397,0.0387873537838459,0.4835427701473236,0.0293749887496233,1.6854408979415894,0.02747896872460842,0.048659201711416245,0.3032453954219818,7.979548931121826,0.0,0.5302852392196655,1.6308144330978394,0,0,0,0,0.0037885894998908043,0.001888275146484375
4,0.04,4,0.07442697882652283,0,0.03309893235564232,0.004355995450168848,0.049441758543252945,0.39103180170059204,0.08179756999015808,1.5754801034927368,0.03191785886883736,0.05788978189229965,0.33775824308395386,7.529478549957275,0.0,0.48035895824432373,1.5144832134246826,0,0,0,0,0.0035919276997447014,0.00246429443359375
5,0.05,5,0.07682445645332336,0,0.036448102444410324,0.00441057188436389,0.05802452936768532,0.31342294812202454,0.11002403497695923,1.1045188903808594,0.0355006568133831,0.06408406049013138,0.36338409781455994,5.487004280090332,0.0,0.4019443392753601,1.155640721321106,0,0,0,0,0.0031585153192281723,0.003078460693359375
6,0.06,6,0.07769060879945755,0,0.038750335574150085,0.0045041777193546295,0.06266745179891586,0.2258584052324295,0.09715536236763,0.8296918869018555,0.038077183067798615,0.06716425716876984,0.37806230783462524,4.559107780456543,0.0,0.3152589201927185,1.0157537460327148,0,0,0,0,0.0028089871630072594,0.003520965576171875
7,0.07,7,0.07847137004137039,0,0.0400368794798851,0.004625271074473858,0.06438256800174713,0.14804069697856903,0.09660546481609344,0.6862584352493286,0.03966546431183815,0.0687950849533081,0.3813128173351288,3.566462516784668,0.0,0.23373892903327942,0.8759176135063171,0,0,0,0,0.002559046261012554,0.00385284423828125
8,0.08,8,0.0788988471031189,0,0.0403229221701622,0.004622733220458031,0.06226539984345436,0.06284675747156143,0.05896351858973503,0.6340217590332031,0.04023416340351105,0.06965622305870056,0.37490180134773254,3.263413906097412,0.0,0.17444901168346405,0.7958807945251465,0,0,0,0,0.0024659791961312294,0.003910064697265625
9,0.09,9,0.0793590173125267,0,0.039700157940387726,0.004640654660761356,0.059073206037282944,0.07011081278324127,0.02958991751074791,0.5516147613525391,0.03980540484189987,0.07019798457622528,0.3666481673717499,3.166175365447998,0.0,0.17402461171150208,0.6689401865005493,0,0,0,0,0.0026205163449048996,0.0038299560546875
