playback_step,simulation_time_s,motion_frame,reward,done,error_anchor_pos,error_anchor_xy,error_anchor_rot,error_anchor_lin_vel,error_anchor_xy_vel,error_anchor_ang_vel,error_body_pos,error_body_rot,error_joint_pos,error_joint_vel,motion_wrap_count,error_body_lin_vel,error_body_ang_vel,termination_time_out,termination_anchor_pos,termination_anchor_ori,termination_ee_body_pos,root_x_from_env_origin,root_y_from_env_origin
0,0.0,0,0.07885109633207321,0,0.00036798929795622826,0.0003621765645220876,0.0024479541461914778,0.09081952273845673,0.05118431895971298,0.28516897559165955,0.0006598130566999316,0.003952673636376858,0.022103987634181976,3.1839702129364014,0.0,0.14105677604675293,0.5803820490837097,0,0,0,0,0.00035762786865234375,5.7220458984375e-05
1,0.01,1,0.08083421736955643,0,0.0017783705843612552,0.0009074971312656999,0.005127175711095333,0.1794663965702057,0.053301673382520676,0.22520174086093903,0.002713044174015522,0.010304063558578491,0.05606928467750549,3.3996899127960205,0.0,0.23673908412456512,0.6416906714439392,0,0,0,0,0.000896453857421875,0.000141143798828125
2,0.02,2,0.08041301369667053,0,0.004214184358716011,0.0013902729842811823,0.007475884631276131,0.2755686938762665,0.04850638657808304,0.20892122387886047,0.005764462985098362,0.017072787508368492,0.09168926626443863,3.549553155899048,0.0,0.3327697217464447,0.7044339179992676,0,0,0,0,0.0013818740844726562,0.000152587890625
3,0.03,3,0.07912267744541168,0,0.007665061857551336,0.0018887846963480115,0.008709612302482128,0.3817879259586334,0.05675866827368736,0.1503068208694458,0.009742774069309235,0.024216696619987488,0.12556549906730652,3.407684564590454,0.0,0.42730626463890076,0.7621590495109558,0,0,0,0,0.0018877983093261719,6.103515625e-05
4,0.04,4,0.07946667075157166,0,0.0105147585272789,0.0019204657291993499,0.00898854061961174,0.15267619490623474,0.037354640662670135,0.2618989944458008,0.012541083618998528,0.026131823658943176,0.12441033124923706,2.322395086288452,0.0,0.15221454203128815,0.42605000734329224,0,0,0,0,0.0019202232360839844,-3.0517578125e-05
5,0.05,5,0.07867080718278885,0,0.011688177473843098,0.002163320081308484,0.012317248620092869,0.10729282349348068,0.08068936318159103,0.4827720522880554,0.013505853712558746,0.026807602494955063,0.11938899755477905,2.0354461669921875,0.0,0.11433856934309006,0.3954094350337982,0,0,0,0,0.002105712890625,-0.00049591064453125
6,0.06,6,0.07849249988794327,0,0.012404072098433971,0.0029433758463710546,0.01589825004339218,0.10268218070268631,0.09973911195993423,0.36640089750289917,0.014146886765956879,0.02997281774878502,0.12814980745315552,2.1608550548553467,0.0,0.09109358489513397,0.48619067668914795,0,0,0,0,0.0028047561645507812,-0.00089263916015625
7,0.07,7,0.07845118641853333,0,0.012872002087533474,0.0037121630739420652,0.02023397572338581,0.07723192125558853,0.0751366838812828,0.44481950998306274,0.014595327898859978,0.03341908007860184,0.14154675602912903,1.8572969436645508,0.0,0.08137550204992294,0.41516122221946716,0,0,0,0,0.0035619735717773438,-0.00104522705078125
8,0.08,8,0.07951158285140991,0,0.013253698125481606,0.004261231515556574,0.02298722416162491,0.059098608791828156,0.05772924795746803,0.2152504026889801,0.01500397827476263,0.036770593374967575,0.15395694971084595,1.6321274042129517,0.0,0.07024770975112915,0.3388327956199646,0,0,0,0,0.004123210906982422,-0.00107574462890625
9,0.09,9,0.079413041472435,0,0.013611355796456337,0.004654347896575928,0.024544596672058105,0.041214097291231155,0.03794366493821144,0.14532214403152466,0.01537821814417839,0.03885466605424881,0.1628669798374176,1.5758564472198486,0.0,0.07124673575162888,0.3021868169307709,0,0,0,0,0.004532814025878906,-0.001056671142578125
